Impuesto específico,Año,Valor,Impuesto,Agregación,Impuesto_alt,Índice,Valor (Constantes - 18)
Por clasificar,1973,0.0,Por clasificar,Por clasificar,Otros,0.19,0.0
Renta cuotas,1974,8996.0,Renta,Actividad interna,Renta,0.25,3598400.0
Retención en la fuente a título de renta,1974,2139.0,Renta,Actividad interna,Renta,0.25,855600.0
Declaraciones IVA,1974,2555.0,IVA,Actividad interna,IVA,0.25,1022000.0
Retención en la fuente a título de IVA,1974,0.0,IVA,Actividad interna,IVA,0.25,0.0
Timbre nacional,1974,1791.0,Timbre nacional,Actividad interna,Otros,0.25,716400.0
G.M.F.,1974,0.0,G.M.F.,Actividad interna,Otros,0.25,0.0
Patrimonio,1974,0.0,Patrimonio,Actividad interna,Otros,0.25,0.0
Riqueza,1974,0.0,Riqueza,Actividad interna,Otros,0.25,0.0
Impuesto al consumo,1974,0.0,Impuesto al consumo,Actividad interna,Otros,0.25,0.0
Impuesto gasolina y ACPM,1974,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.25,0.0
Impuesto al carbono,1974,0.0,Impuesto al carbono,Actividad interna,Otros,0.25,0.0
Declaraciones CREE,1974,0.0,CREE,Actividad interna,Otros,0.25,0.0
Retención CREE,1974,0.0,CREE,Actividad interna,Otros,0.25,0.0
Impuesto unificado RST (Simple),1974,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.25,0.0
Impuesto de normalización tributaria,1974,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.25,0.0
Consumo bienes inmuebles,1974,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.25,0.0
Productos plásticos de un solo uso,1974,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.25,0.0
Impuestos saludables - Bebidas azucaradas,1974,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.25,0.0
Impuestos saludables - Comestibles ultraprocesados,1974,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.25,0.0
IVA_ext,1974,1390.0,IVA,Actividad externa,IVA,0.25,556000.0
Arancel,1974,7634.0,Arancel,Actividad externa,Otros,0.25,3053600.0
Por clasificar,1974,0.0,Por clasificar,Por clasificar,Otros,0.25,0.0
Renta cuotas,1975,15702.0,Renta,Actividad interna,Renta,0.29,5414482.75862069
Retención en la fuente a título de renta,1975,2613.0,Renta,Actividad interna,Renta,0.29,901034.4827586208
Declaraciones IVA,1975,5174.0,IVA,Actividad interna,IVA,0.29,1784137.9310344828
Retención en la fuente a título de IVA,1975,0.0,IVA,Actividad interna,IVA,0.29,0.0
Timbre nacional,1975,1658.0,Timbre nacional,Actividad interna,Otros,0.29,571724.1379310346
G.M.F.,1975,0.0,G.M.F.,Actividad interna,Otros,0.29,0.0
Patrimonio,1975,0.0,Patrimonio,Actividad interna,Otros,0.29,0.0
Riqueza,1975,0.0,Riqueza,Actividad interna,Otros,0.29,0.0
Impuesto al consumo,1975,0.0,Impuesto al consumo,Actividad interna,Otros,0.29,0.0
Impuesto gasolina y ACPM,1975,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.29,0.0
Impuesto al carbono,1975,0.0,Impuesto al carbono,Actividad interna,Otros,0.29,0.0
Declaraciones CREE,1975,0.0,CREE,Actividad interna,Otros,0.29,0.0
Retención CREE,1975,0.0,CREE,Actividad interna,Otros,0.29,0.0
Impuesto unificado RST (Simple),1975,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.29,0.0
Impuesto de normalización tributaria,1975,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.29,0.0
Consumo bienes inmuebles,1975,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.29,0.0
Productos plásticos de un solo uso,1975,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.29,0.0
Impuestos saludables - Bebidas azucaradas,1975,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.29,0.0
Impuestos saludables - Comestibles ultraprocesados,1975,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.29,0.0
IVA_ext,1975,2584.0,IVA,Actividad externa,IVA,0.29,891034.4827586208
Arancel,1975,9479.0,Arancel,Actividad externa,Otros,0.29,3268620.6896551726
Por clasificar,1975,0.0,Por clasificar,Por clasificar,Otros,0.29,0.0
Renta cuotas,1976,10950.0,Renta,Actividad interna,Renta,0.36,3041666.666666667
Retención en la fuente a título de renta,1976,9819.0,Renta,Actividad interna,Renta,0.36,2727500.0
Declaraciones IVA,1976,6497.0,IVA,Actividad interna,IVA,0.36,1804722.2222222222
Retención en la fuente a título de IVA,1976,0.0,IVA,Actividad interna,IVA,0.36,0.0
Timbre nacional,1976,1748.0,Timbre nacional,Actividad interna,Otros,0.36,485555.55555555556
G.M.F.,1976,0.0,G.M.F.,Actividad interna,Otros,0.36,0.0
Patrimonio,1976,0.0,Patrimonio,Actividad interna,Otros,0.36,0.0
Riqueza,1976,0.0,Riqueza,Actividad interna,Otros,0.36,0.0
Impuesto al consumo,1976,0.0,Impuesto al consumo,Actividad interna,Otros,0.36,0.0
Impuesto gasolina y ACPM,1976,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.36,0.0
Impuesto al carbono,1976,0.0,Impuesto al carbono,Actividad interna,Otros,0.36,0.0
Declaraciones CREE,1976,0.0,CREE,Actividad interna,Otros,0.36,0.0
Retención CREE,1976,0.0,CREE,Actividad interna,Otros,0.36,0.0
Impuesto unificado RST (Simple),1976,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.36,0.0
Impuesto de normalización tributaria,1976,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.36,0.0
Consumo bienes inmuebles,1976,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.36,0.0
Productos plásticos de un solo uso,1976,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.36,0.0
Impuestos saludables - Bebidas azucaradas,1976,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.36,0.0
Impuestos saludables - Comestibles ultraprocesados,1976,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.36,0.0
IVA_ext,1976,3564.0,IVA,Actividad externa,IVA,0.36,990000.0
Arancel,1976,13687.0,Arancel,Actividad externa,Otros,0.36,3801944.4444444445
Por clasificar,1976,0.0,Por clasificar,Por clasificar,Otros,0.36,0.0
Renta cuotas,1977,19813.0,Renta,Actividad interna,Renta,0.47,4215531.914893618
Retención en la fuente a título de renta,1977,4375.0,Renta,Actividad interna,Renta,0.47,930851.0638297874
Declaraciones IVA,1977,8344.0,IVA,Actividad interna,IVA,0.47,1775319.1489361704
Retención en la fuente a título de IVA,1977,0.0,IVA,Actividad interna,IVA,0.47,0.0
Timbre nacional,1977,2176.0,Timbre nacional,Actividad interna,Otros,0.47,462978.7234042554
G.M.F.,1977,0.0,G.M.F.,Actividad interna,Otros,0.47,0.0
Patrimonio,1977,0.0,Patrimonio,Actividad interna,Otros,0.47,0.0
Riqueza,1977,0.0,Riqueza,Actividad interna,Otros,0.47,0.0
Impuesto al consumo,1977,0.0,Impuesto al consumo,Actividad interna,Otros,0.47,0.0
Impuesto gasolina y ACPM,1977,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.47,0.0
Impuesto al carbono,1977,0.0,Impuesto al carbono,Actividad interna,Otros,0.47,0.0
Declaraciones CREE,1977,0.0,CREE,Actividad interna,Otros,0.47,0.0
Retención CREE,1977,0.0,CREE,Actividad interna,Otros,0.47,0.0
Impuesto unificado RST (Simple),1977,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.47,0.0
Impuesto de normalización tributaria,1977,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.47,0.0
Consumo bienes inmuebles,1977,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.47,0.0
Productos plásticos de un solo uso,1977,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.47,0.0
Impuestos saludables - Bebidas azucaradas,1977,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.47,0.0
Impuestos saludables - Comestibles ultraprocesados,1977,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.47,0.0
IVA_ext,1977,5107.0,IVA,Actividad externa,IVA,0.47,1086595.7446808512
Arancel,1977,19037.0,Arancel,Actividad externa,Otros,0.47,4050425.531914894
Por clasificar,1977,0.0,Por clasificar,Por clasificar,Otros,0.47,0.0
Renta cuotas,1978,25063.0,Renta,Actividad interna,Renta,0.56,4475535.714285714
Retención en la fuente a título de renta,1978,5614.0,Renta,Actividad interna,Renta,0.56,1002499.9999999999
Declaraciones IVA,1978,11151.0,IVA,Actividad interna,IVA,0.56,1991249.9999999998
Retención en la fuente a título de IVA,1978,0.0,IVA,Actividad interna,IVA,0.56,0.0
Timbre nacional,1978,2876.0,Timbre nacional,Actividad interna,Otros,0.56,513571.4285714285
G.M.F.,1978,0.0,G.M.F.,Actividad interna,Otros,0.56,0.0
Patrimonio,1978,0.0,Patrimonio,Actividad interna,Otros,0.56,0.0
Riqueza,1978,0.0,Riqueza,Actividad interna,Otros,0.56,0.0
Impuesto al consumo,1978,0.0,Impuesto al consumo,Actividad interna,Otros,0.56,0.0
Impuesto gasolina y ACPM,1978,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.56,0.0
Impuesto al carbono,1978,0.0,Impuesto al carbono,Actividad interna,Otros,0.56,0.0
Declaraciones CREE,1978,0.0,CREE,Actividad interna,Otros,0.56,0.0
Retención CREE,1978,0.0,CREE,Actividad interna,Otros,0.56,0.0
Impuesto unificado RST (Simple),1978,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.56,0.0
Impuesto de normalización tributaria,1978,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.56,0.0
Consumo bienes inmuebles,1978,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.56,0.0
Productos plásticos de un solo uso,1978,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.56,0.0
Impuestos saludables - Bebidas azucaradas,1978,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.56,0.0
Impuestos saludables - Comestibles ultraprocesados,1978,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.56,0.0
IVA_ext,1978,7506.0,IVA,Actividad externa,IVA,0.56,1340357.1428571427
Arancel,1978,21505.0,Arancel,Actividad externa,Otros,0.56,3840178.571428571
Por clasificar,1978,0.0,Por clasificar,Por clasificar,Otros,0.56,0.0
Renta cuotas,1979,29799.0,Renta,Actividad interna,Renta,0.72,4138750.0
Retención en la fuente a título de renta,1979,8686.0,Renta,Actividad interna,Renta,0.72,1206388.888888889
Declaraciones IVA,1979,15556.0,IVA,Actividad interna,IVA,0.72,2160555.5555555555
Retención en la fuente a título de IVA,1979,0.0,IVA,Actividad interna,IVA,0.72,0.0
Timbre nacional,1979,3176.0,Timbre nacional,Actividad interna,Otros,0.72,441111.1111111111
G.M.F.,1979,0.0,G.M.F.,Actividad interna,Otros,0.72,0.0
Patrimonio,1979,0.0,Patrimonio,Actividad interna,Otros,0.72,0.0
Riqueza,1979,0.0,Riqueza,Actividad interna,Otros,0.72,0.0
Impuesto al consumo,1979,0.0,Impuesto al consumo,Actividad interna,Otros,0.72,0.0
Impuesto gasolina y ACPM,1979,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.72,0.0
Impuesto al carbono,1979,0.0,Impuesto al carbono,Actividad interna,Otros,0.72,0.0
Declaraciones CREE,1979,0.0,CREE,Actividad interna,Otros,0.72,0.0
Retención CREE,1979,0.0,CREE,Actividad interna,Otros,0.72,0.0
Impuesto unificado RST (Simple),1979,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.72,0.0
Impuesto de normalización tributaria,1979,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.72,0.0
Consumo bienes inmuebles,1979,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.72,0.0
Productos plásticos de un solo uso,1979,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.72,0.0
Impuestos saludables - Bebidas azucaradas,1979,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.72,0.0
Impuestos saludables - Comestibles ultraprocesados,1979,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.72,0.0
IVA_ext,1979,9342.0,IVA,Actividad externa,IVA,0.72,1297500.0
Arancel,1979,25477.0,Arancel,Actividad externa,Otros,0.72,3538472.2222222225
Por clasificar,1979,0.0,Por clasificar,Por clasificar,Otros,0.72,0.0
Renta cuotas,1980,35143.0,Renta,Actividad interna,Renta,0.9,3904777.7777777775
Retención en la fuente a título de renta,1980,13175.0,Renta,Actividad interna,Renta,0.9,1463888.8888888888
Declaraciones IVA,1980,18758.0,IVA,Actividad interna,IVA,0.9,2084222.222222222
Retención en la fuente a título de IVA,1980,0.0,IVA,Actividad interna,IVA,0.9,0.0
Timbre nacional,1980,4969.0,Timbre nacional,Actividad interna,Otros,0.9,552111.111111111
G.M.F.,1980,0.0,G.M.F.,Actividad interna,Otros,0.9,0.0
Patrimonio,1980,0.0,Patrimonio,Actividad interna,Otros,0.9,0.0
Riqueza,1980,0.0,Riqueza,Actividad interna,Otros,0.9,0.0
Impuesto al consumo,1980,0.0,Impuesto al consumo,Actividad interna,Otros,0.9,0.0
Impuesto gasolina y ACPM,1980,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.9,0.0
Impuesto al carbono,1980,0.0,Impuesto al carbono,Actividad interna,Otros,0.9,0.0
Declaraciones CREE,1980,0.0,CREE,Actividad interna,Otros,0.9,0.0
Retención CREE,1980,0.0,CREE,Actividad interna,Otros,0.9,0.0
Impuesto unificado RST (Simple),1980,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.9,0.0
Impuesto de normalización tributaria,1980,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.9,0.0
Consumo bienes inmuebles,1980,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.9,0.0
Productos plásticos de un solo uso,1980,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.9,0.0
Impuestos saludables - Bebidas azucaradas,1980,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.9,0.0
Impuestos saludables - Comestibles ultraprocesados,1980,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.9,0.0
IVA_ext,1980,14806.0,IVA,Actividad externa,IVA,0.9,1645111.111111111
Arancel,1980,35526.0,Arancel,Actividad externa,Otros,0.9,3947333.333333333
Por clasificar,1980,0.0,Por clasificar,Por clasificar,Otros,0.9,0.0
Renta cuotas,1981,38633.0,Renta,Actividad interna,Renta,1.14,3388859.649122807
Retención en la fuente a título de renta,1981,16093.0,Renta,Actividad interna,Renta,1.14,1411666.6666666667
Declaraciones IVA,1981,25713.0,IVA,Actividad interna,IVA,1.14,2255526.315789474
Retención en la fuente a título de IVA,1981,0.0,IVA,Actividad interna,IVA,1.14,0.0
Timbre nacional,1981,4945.0,Timbre nacional,Actividad interna,Otros,1.14,433771.92982456146
G.M.F.,1981,0.0,G.M.F.,Actividad interna,Otros,1.14,0.0
Patrimonio,1981,0.0,Patrimonio,Actividad interna,Otros,1.14,0.0
Riqueza,1981,0.0,Riqueza,Actividad interna,Otros,1.14,0.0
Impuesto al consumo,1981,0.0,Impuesto al consumo,Actividad interna,Otros,1.14,0.0
Impuesto gasolina y ACPM,1981,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,1.14,0.0
Impuesto al carbono,1981,0.0,Impuesto al carbono,Actividad interna,Otros,1.14,0.0
Declaraciones CREE,1981,0.0,CREE,Actividad interna,Otros,1.14,0.0
Retención CREE,1981,0.0,CREE,Actividad interna,Otros,1.14,0.0
Impuesto unificado RST (Simple),1981,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,1.14,0.0
Impuesto de normalización tributaria,1981,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,1.14,0.0
Consumo bienes inmuebles,1981,0.0,Consumo bienes inmuebles,Actividad interna,Otros,1.14,0.0
Productos plásticos de un solo uso,1981,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,1.14,0.0
Impuestos saludables - Bebidas azucaradas,1981,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,1.14,0.0
Impuestos saludables - Comestibles ultraprocesados,1981,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,1.14,0.0
IVA_ext,1981,17159.0,IVA,Actividad externa,IVA,1.14,1505175.4385964915
Arancel,1981,37535.0,Arancel,Actividad externa,Otros,1.14,3292543.859649123
Por clasificar,1981,0.0,Por clasificar,Por clasificar,Otros,1.14,0.0
Renta cuotas,1982,46655.0,Renta,Actividad interna,Renta,1.41,3308865.2482269504
Retención en la fuente a título de renta,1982,21215.0,Renta,Actividad interna,Renta,1.41,1504609.929078014
Declaraciones IVA,1982,33536.0,IVA,Actividad interna,IVA,1.41,2378439.716312057
Retención en la fuente a título de IVA,1982,0.0,IVA,Actividad interna,IVA,1.41,0.0
Timbre nacional,1982,6615.0,Timbre nacional,Actividad interna,Otros,1.41,469148.93617021275
G.M.F.,1982,0.0,G.M.F.,Actividad interna,Otros,1.41,0.0
Patrimonio,1982,0.0,Patrimonio,Actividad interna,Otros,1.41,0.0
Riqueza,1982,0.0,Riqueza,Actividad interna,Otros,1.41,0.0
Impuesto al consumo,1982,0.0,Impuesto al consumo,Actividad interna,Otros,1.41,0.0
Impuesto gasolina y ACPM,1982,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,1.41,0.0
Impuesto al carbono,1982,0.0,Impuesto al carbono,Actividad interna,Otros,1.41,0.0
Declaraciones CREE,1982,0.0,CREE,Actividad interna,Otros,1.41,0.0
Retención CREE,1982,0.0,CREE,Actividad interna,Otros,1.41,0.0
Impuesto unificado RST (Simple),1982,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,1.41,0.0
Impuesto de normalización tributaria,1982,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,1.41,0.0
Consumo bienes inmuebles,1982,0.0,Consumo bienes inmuebles,Actividad interna,Otros,1.41,0.0
Productos plásticos de un solo uso,1982,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,1.41,0.0
Impuestos saludables - Bebidas azucaradas,1982,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,1.41,0.0
Impuestos saludables - Comestibles ultraprocesados,1982,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,1.41,0.0
IVA_ext,1982,21282.0,IVA,Actividad externa,IVA,1.41,1509361.7021276597
Arancel,1982,43972.0,Arancel,Actividad externa,Otros,1.41,3118581.560283688
Por clasificar,1982,0.0,Por clasificar,Por clasificar,Otros,1.41,0.0
Renta cuotas,1983,72515.0,Renta,Actividad interna,Renta,1.65,4394848.484848484
Retención en la fuente a título de renta,1983,27716.0,Renta,Actividad interna,Renta,1.65,1679757.5757575757
Declaraciones IVA,1983,41997.0,IVA,Actividad interna,IVA,1.65,2545272.727272727
Retención en la fuente a título de IVA,1983,0.0,IVA,Actividad interna,IVA,1.65,0.0
Timbre nacional,1983,7436.0,Timbre nacional,Actividad interna,Otros,1.65,450666.6666666666
G.M.F.,1983,0.0,G.M.F.,Actividad interna,Otros,1.65,0.0
Patrimonio,1983,0.0,Patrimonio,Actividad interna,Otros,1.65,0.0
